ID,Environment Satisfaction,Job Satisfaction,Relationship Satisfaction,Work-Life Balance
1053,1,1,2,3
1055,3,3,4,3
1056,4,2,2,3
1060,3,3,1,3
1061,2,3,4,2
1062,4,2,1,2
1066,3,1,2,2
1068,1,3,3,3
1069,4,4,4,3
1070,3,3,2,3
1071,1,3,2,3
1073,4,4,2,2
1074,3,1,2,4
1076,3,4,3,3
1077,4,4,2,3
1079,3,1,1,2
1080,4,1,1,3
1081,1,3,3,4
1082,2,1,1,2
1083,1,1,1,3
1084,3,1,3,2
1085,2,3,3,3
1088,3,3,1,2
1092,1,4,4,3
1094,1,3,4,3
1096,4,2,2,3
1097,3,3,4,4
1098,2,1,4,3
1099,4,4,3,3
1100,4,1,1,3
1101,1,3,2,3
1102,1,3,4,2
1103,1,4,3,2
1105,4,4,3,3
1106,4,4,2,4
1107,1,3,3,2
1108,1,2,2,3
1109,4,1,4,3
1111,1,2,1,3
1113,4,3,4,3
1114,4,2,3,3
1115,3,4,4,3
1116,1,4,3,2
1117,2,3,4,3
1118,2,2,4,3
1119,3,3,2,3
1120,3,4,1,3
1121,4,2,2,2
1124,1,3,4,3
1125,4,2,3,3
1126,3,1,3,3
1127,1,4,4,3
1128,3,3,1,4
1131,4,2,3,4
1132,3,2,3,2
1133,1,4,1,3
1135,3,4,1,3
1136,1,2,1,1
1137,4,4,4,3
1138,4,2,2,3
1140,4,3,4,2
1143,4,2,4,2
1148,2,4,1,3
1150,2,4,3,2
1152,3,3,4,4
1154,3,3,4,3
1156,3,3,4,3
1157,1,1,1,3
1158,2,4,1,3
1160,3,3,3,2
1161,3,4,3,3
1162,4,3,3,3
1163,2,3,1,2
1164,3,3,2,1
1165,4,1,1,1
1166,2,3,3,2
1167,3,1,2,2
1171,2,1,4,4
1172,4,3,2,3
1173,4,2,4,3
1175,3,4,4,2
1177,1,4,2,3
1179,3,3,1,3
1180,3,4,4,1
1182,3,2,2,4
1184,4,1,3,3
1185,4,4,2,4
1188,1,3,2,2
1190,3,1,3,3
1191,4,1,4,3
1192,2,4,1,3
1193,3,1,3,3
1195,1,3,3,2
1196,4,4,2,2
1198,1,3,1,2
1200,3,3,3,3
1201,4,3,2,3
1202,2,4,1,2
1203,3,4,2,3
1204,3,1,1,3
1206,4,3,4,3
1207,2,3,4,3
1210,1,1,1,1
1211,3,1,3,3
1212,2,2,4,3
1215,4,1,3,3
1216,4,1,3,3
1217,4,2,1,3
1218,3,1,4,3
1219,4,2,1,1
1220,2,3,1,2
1221,3,3,3,3
1224,3,3,1,2
1225,4,4,2,3
1226,3,4,4,3
1228,4,4,3,2
1231,4,1,1,4
1233,2,4,2,3
1234,3,2,3,3
1235,4,3,4,3
1237,3,1,3,3
1238,1,4,2,3
1239,2,2,2,4
1240,3,4,2,3
1241,4,2,1,3
1242,1,1,3,3
1243,3,4,2,2
1244,1,1,4,2
1245,4,3,1,1
1246,1,4,4,3
1248,1,2,2,4
1249,1,4,1,3
1250,4,4,1,3
1251,3,1,4,2
1252,3,1,2,3
1254,3,4,4,3
1255,3,4,2,3
1256,1,3,3,4
1257,3,2,3,2
1258,4,2,3,2
1259,1,3,2,3
1260,3,4,2,3
1263,4,4,3,4
1264,4,4,2,2
1265,3,3,4,2
1267,2,2,3,3
1268,4,3,4,3
1269,2,4,4,3
1270,4,3,4,3
1273,3,4,4,3
1275,3,4,2,2
1277,1,2,1,3
1278,4,2,4,3
1279,1,3,3,1
1280,4,2,3,3
1281,3,1,4,3
1282,4,2,1,2
1283,4,4,4,2
1285,3,2,3,4
1286,4,3,3,2
1288,3,1,4,2
1289,3,2,4,4
1291,3,3,4,3
1292,2,2,4,3
1293,4,4,4,4
1294,3,2,4,3
1295,1,4,4,3
1296,4,4,2,3
1297,2,3,2,2
1298,3,3,3,3
1299,2,3,1,3
1301,4,1,2,2
1303,4,2,4,2
1304,3,4,3,4
1306,2,2,3,3
1307,3,2,4,3
1308,1,3,4,3
1309,4,3,1,3
1310,3,1,1,3
1311,1,4,1,3
1312,4,3,1,3
1314,4,1,3,4
1315,3,4,1,3
1317,4,1,2,3
1318,4,2,3,3
1319,2,2,3,2
1321,2,1,4,3
1322,1,3,1,3
1324,4,3,1,2
1329,3,2,1,3
1331,4,2,1,4
1333,1,1,3,4
1334,3,3,4,2
1336,4,3,4,3
1338,4,2,1,3
1340,3,3,2,3
1344,4,4,4,2
1346,3,4,3,3
1349,3,1,4,3
1350,3,3,2,3
1352,3,2,2,3
1355,2,1,4,3
1356,3,1,4,4
1358,4,4,3,2
1360,3,1,4,2
1361,2,2,3,3
1362,1,1,4,2
1363,4,4,3,3
1364,3,4,2,3
1367,4,2,2,2
1368,4,4,3,4
1369,4,4,2,3
1371,4,4,2,3
1372,1,3,3,2
1373,4,2,1,3
1374,1,3,3,3
1375,2,3,2,3
1377,2,3,1,3
1379,3,4,3,4
1380,4,3,3,2
1382,4,3,4,3
1383,3,4,4,4
1387,3,1,3,3
1389,4,3,4,2
1390,1,4,4,4
1391,2,2,2,3
1392,4,4,1,2
1394,3,3,4,3
1395,2,4,1,4
1396,3,2,1,2
1397,3,3,2,3
1399,1,3,2,2
1401,4,3,2,2
1402,1,3,1,1
1403,4,4,4,3
1405,4,3,4,3
1407,1,4,4,3
1408,3,1,3,3
1409,3,1,3,1
1411,1,3,1,3
1412,3,4,3,3
1415,1,4,2,2
1417,3,1,4,3
1419,2,1,1,2
1420,1,1,1,3
1421,3,4,1,3
1422,4,4,4,2
1423,4,1,3,3
1424,2,4,4,4
1425,1,2,4,3
1427,2,3,2,3
1428,4,1,2,3
1430,1,2,3,4
1431,4,1,3,3
1433,1,2,3,4
1434,2,1,2,4
1435,1,4,3,2
1436,3,1,1,2
1438,1,4,3,2
1439,1,1,1,3
1440,3,3,1,1
1441,1,1,4,4
1443,1,3,2,4
1445,4,3,3,3
1446,4,4,3,2
1447,4,2,1,2
1448,2,3,1,2
1449,3,3,3,4
1453,1,4,1,3
1457,1,4,1,4
1458,1,1,2,4
1459,3,2,1,3
1460,2,1,2,3
1461,4,2,4,3
1464,2,4,3,1
1465,2,4,4,4
1466,3,1,1,3
1467,1,3,4,3
1468,4,2,3,3
1469,4,1,4,3
1471,3,3,4,3
1472,4,2,2,2
1473,1,3,2,2
1474,3,3,3,4
1475,4,2,3,2
1477,4,1,1,3
1478,4,1,4,3
1479,4,3,3,2
1480,1,4,3,3
1481,1,3,3,2
1482,3,3,2,2
1483,2,3,1,2
1484,3,2,2,3
1485,2,1,4,2
1486,1,3,4,4
1487,1,2,1,1
1489,1,2,3,4
1492,4,3,1,3
1494,2,1,3,2
1495,4,2,3,3
1496,2,3,2,2
1497,3,3,3,3
1499,3,3,1,4
1501,4,3,2,3
1502,1,2,4,3
1503,3,3,3,2
1504,3,1,3,2
1506,1,3,4,1
1507,3,1,4,3
1509,3,1,1,3
1513,4,2,3,3
1514,3,2,2,2
1515,4,3,1,3
1516,3,4,2,4
1520,2,4,1,3
1522,1,1,3,1
1523,4,1,3,4
1525,2,2,4,3
1527,3,2,4,4
1529,4,2,4,1
1533,1,3,2,3
1534,4,1,2,1
1535,4,3,4,3
1537,4,3,1,1
1539,3,4,4,3
1541,2,3,2,3
1542,3,2,2,3
1543,1,4,1,3
1544,3,1,3,3
1545,4,2,4,3
1546,4,4,4,3
1547,4,4,3,1
1548,1,1,4,4
1549,2,3,2,3
1550,3,4,4,3
1551,3,1,2,3
1552,4,4,3,3
1553,1,2,1,3
1554,2,3,1,3
1555,4,2,1,3
1556,3,4,4,2
1557,3,3,3,3
1558,3,3,1,2
1560,1,1,4,1
1562,2,1,4,3
1563,3,3,3,3
1564,4,1,2,3
1568,3,2,2,3
1569,1,1,4,3
1572,3,4,2,3
1573,3,2,1,3
1574,4,1,2,2
1576,3,1,4,2
1577,1,4,3,1
1578,3,4,3,3
1580,2,4,2,2
1581,1,4,1,3
1582,3,2,4,3
1583,2,2,2,4
1585,2,3,1,3
1586,2,1,4,3
1587,1,3,3,3
1588,4,3,1,3
1590,1,4,4,4
1591,3,3,3,3
1592,4,3,4,3
1594,1,1,4,3
1595,4,4,4,3
1596,2,3,4,2
1597,4,3,2,2
1598,4,1,3,3
1599,4,2,3,3
1601,3,4,4,2
1602,4,1,2,1
1604,3,2,3,3
1605,2,3,2,2
1606,2,3,3,3
1607,2,4,4,3
1608,2,4,4,2
1609,2,2,2,2
1611,3,1,1,3
1612,1,1,1,3
1613,4,1,4,3
1614,3,3,2,3
1615,3,4,1,3
1617,3,1,4,2
1618,2,1,4,3
1619,4,1,1,3
1621,2,1,4,3
1622,2,1,2,2
1623,3,4,3,3
1624,2,4,3,4
1625,4,3,3,3
1627,3,3,4,3
1628,1,3,4,3
1630,3,3,4,3
1631,3,3,1,2
1633,1,3,4,1
1635,4,4,1,3
1638,4,3,4,4
1639,4,1,3,3
1640,2,2,1,1
1641,3,4,4,2
1642,1,4,3,3
1644,3,4,2,3
1645,1,4,4,2
1646,1,4,3,3
1647,2,3,1,3
1648,4,4,3,2
1649,1,1,2,1
1650,3,3,3,3
1651,2,1,3,3
1653,4,3,3,3
1654,4,2,3,3
1655,1,2,2,3
1656,4,1,3,3
1657,3,3,1,3
1658,4,2,3,3
1659,1,2,3,3
1661,3,3,2,3
1662,4,3,3,3
1664,4,1,1,3
1665,2,3,3,3
1666,3,3,1,3
1667,4,4,1,4
1668,4,4,4,4
1669,1,2,2,2
1670,4,4,3,3
1671,4,2,3,2
1673,1,4,1,3
1674,4,1,2,2
1675,4,2,2,3
1676,2,2,3,3
1677,3,3,1,3
1678,4,3,4,3
1680,4,1,1,3
1681,3,4,3,3
1682,1,3,2,2
1683,3,4,1,3
1684,4,3,1,3
1687,4,3,4,2
1689,2,4,3,3
1691,4,3,3,3
1692,4,2,1,3
1693,4,4,3,3
1694,1,2,4,3
1696,2,4,3,4
1697,3,4,3,4
1698,2,2,4,3
1700,3,4,3,2
1701,2,4,2,3
1702,3,4,2,3
1703,3,4,2,3
1704,1,4,3,4
1706,4,4,1,3
1707,3,3,4,3
1708,4,3,2,3
1709,4,3,3,3
1710,3,4,3,2
1712,3,3,4,2
1714,4,3,3,3
1716,3,3,3,1
1718,4,3,3,4
1719,4,2,3,3
1720,1,3,1,2
1721,2,3,4,4
1722,3,2,2,3
1724,2,1,2,3
1725,2,1,2,4
1727,3,2,4,3
1728,4,3,2,3
1729,2,4,2,2
1731,3,2,4,1
1732,3,4,2,2
1733,2,1,2,3
1734,1,2,2,3
1735,3,2,3,1
1736,4,4,4,2
1737,4,4,4,3
1739,4,3,3,1
1740,2,2,2,2
1744,3,3,3,4
1745,4,1,4,3
1746,1,4,4,3
1747,3,4,3,2
1749,1,3,3,3
1751,3,4,3,2
1752,2,2,3,3
1753,4,3,4,4
1754,3,1,1,3
1755,4,4,1,3
1756,4,2,4,2
1757,4,4,3,4
1758,1,1,3,2
1760,3,2,2,2
1761,1,3,1,3
1762,4,1,3,3
1763,3,3,3,3
1764,2,2,2,3
1766,2,4,3,3
1767,3,3,4,3
1768,2,2,2,2
1770,3,1,2,3
1771,4,2,4,2
1772,3,1,2,3
1774,4,3,3,3
1775,1,3,4,2
1778,2,4,2,3
1779,4,4,1,3
1780,2,2,2,3
1782,4,3,2,3
1783,3,1,3,3
1784,1,4,1,3
1786,1,3,4,3
1787,2,2,1,3
1789,3,4,3,3
1790,4,1,4,3
1792,3,2,3,2
1794,3,2,3,2
1797,3,4,4,3
1798,4,1,2,3
1799,3,4,3,4
1800,3,3,3,3
1801,2,2,3,3
1802,3,1,4,2
1803,2,1,3,2
1804,2,4,3,3
1805,1,2,4,3
1807,4,1,3,2
1809,4,1,2,1
1812,3,4,4,3
1813,1,3,3,2
1814,2,2,1,1
1815,3,3,4,4
1816,1,3,2,3
1818,4,2,3,3
1821,4,2,4,4
1822,3,4,4,3
1823,2,3,3,3
1824,2,2,4,2
1826,2,3,2,4
1827,3,2,3,3
1829,2,1,2,3
1830,4,4,2,2
1833,1,1,4,3
1834,3,1,3,3
1835,2,4,1,2
1836,3,4,1,3
1837,1,3,2,3
1839,2,3,3,1
1842,4,1,3,3
1844,1,1,4,3
1845,3,3,2,4
1847,4,2,4,3
1849,1,4,3,3
1850,4,4,3,2
1852,4,4,2,4
1853,4,4,3,4
1854,3,3,2,2
1856,2,3,3,3
1857,4,4,3,2
1858,3,4,2,3
1859,4,3,4,3
1860,4,3,4,3
1862,3,2,3,2
1863,1,1,4,3
1864,2,3,4,3
1865,4,2,4,3
1866,1,3,4,3
1867,4,2,4,3
1868,4,4,2,2
1869,3,2,3,3
1870,4,1,4,2
1871,4,4,2,3
1873,2,4,2,4
1875,2,2,4,3
1876,2,4,3,2
1878,4,2,1,3
1880,2,3,1,3
1881,2,3,1,3
1882,3,4,4,3
1883,4,1,2,3
1885,4,1,3,3
1886,4,2,4,3
1888,2,4,4,2
1890,2,4,4,2
1892,1,1,1,3
1893,2,3,3,2
1898,1,3,2,2
1900,4,4,2,3
1903,2,1,4,3
1905,4,1,2,3
1907,1,4,4,3
1908,3,2,3,1
1909,3,2,3,3
1911,3,1,2,4
1912,3,4,4,3
1915,4,4,3,2
1916,1,3,2,2
1918,3,4,1,3
1922,2,3,3,3
1924,2,3,2,2
1927,3,4,3,3
1928,3,1,4,3
1929,1,3,3,3
1931,2,2,3,2
1932,3,4,2,3
1933,4,3,4,3
1934,3,2,3,4
1935,4,1,3,3
1936,1,1,4,3
1937,4,2,3,3
1938,4,4,3,2
1939,1,3,1,3
1940,2,4,4,4
1941,2,4,4,3
1943,2,4,3,3
1944,1,2,1,3
1945,2,1,4,1
1947,3,3,3,2
1948,3,1,4,4
1949,1,2,2,3
1950,1,4,1,2
1951,4,3,3,2
1952,3,1,4,2
1954,1,1,1,2
1955,3,4,2,3
1956,4,1,2,3
1960,3,4,1,2
1961,1,1,1,2
1962,3,4,4,3
1965,4,4,1,3
1966,4,4,2,3
1967,1,4,3,3
1968,1,1,2,2
1969,1,3,3,2
1970,4,3,3,3
1971,1,3,2,3
1972,4,2,2,3
1973,3,2,1,3
1974,4,4,3,3
1975,2,1,1,3
1976,4,3,4,3
1979,3,3,3,4
1980,3,1,4,3
1981,2,3,2,2
1982,4,4,3,4
1985,4,3,1,4
1986,2,2,3,3
1987,3,2,3,3
1989,4,2,3,2
1992,4,3,3,2
1993,1,3,2,3
1994,2,3,3,2
1995,4,2,1,3
1996,1,3,3,3
1997,1,3,4,3
1998,4,1,3,2
1999,4,4,1,3
2000,3,2,1,1
2003,4,3,3,3
2007,4,3,4,4
2008,2,3,2,3
2009,2,4,1,3
2010,3,2,3,3
2012,1,4,3,2
2013,2,2,2,3
2014,1,4,1,3
2015,2,3,1,3
2016,3,4,3,3
2017,3,4,1,3
2018,1,3,2,2
2019,1,4,2,2
2020,2,4,3,3
2021,3,1,4,3
2022,4,4,3,2
2023,4,1,1,2
2024,1,4,3,3
2025,4,2,2,3
2026,3,3,1,2
2027,1,4,2,4
2031,1,3,1,2
2032,4,3,4,1
2034,1,2,3,3
2035,4,3,4,3
2036,4,4,1,2
2037,3,2,3,3
2038,4,1,4,3
2040,3,4,3,3
2041,1,4,3,3
2044,2,3,4,3
2045,2,4,1,2
2046,4,3,3,3
2048,3,3,4,3
2049,3,3,4,4
2051,3,3,2,3
2052,3,4,4,3
2053,4,2,1,3
2054,4,1,2,1
2055,4,1,2,3
2056,2,4,1,2
2057,2,1,2,3
2060,4,3,4,3
2061,3,4,3,3
2062,4,1,1,3
2064,2,2,2,3
2065,4,2,4,2
2068,2,3,1,4
